State Code,County Code,Site Num,Address,State,County,City,Date Local,NO2 Units,NO2 Mean,NO2 1st Max Value,NO2 1st Max Hour,NO2 AQI,O3 Units,O3 Mean,O3 1st Max Value,O3 1st Max Hour,O3 AQI,SO2 Units,SO2 Mean,SO2 1st Max Value,SO2 1st Max Hour,SO2 AQI,CO Units,CO Mean,CO 1st Max Value,CO 1st Max Hour,CO AQI,State_Abbr,Population_2010
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2005-08-16,Parts per billion,15.416667,28.0,21,26,Parts per million,0.032042,0.06,10,51,Parts per billion,4.478261,14.0,10,20.0,Parts per million,0.434783,0.9,6,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2012-12-12,Parts per billion,8.172727,22.6,6,21,Parts per million,0.020667,0.031,11,26,Parts per billion,0.9625,3.2,8,,Parts per million,0.155,0.24,23,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2003-01-25,Parts per billion,25.291667,46.0,1,43,Parts per million,0.016292,0.028,9,24,Parts per billion,3.15,6.0,2,,Parts per million,1.245833,2.2,3,25.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2001-02-25,Parts per billion,8.285714,23.0,6,22,Parts per million,0.024182,0.034,10,29,Parts per billion,6.45,11.6,17,,Parts per million,0.833333,1.1,18,,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2013-02-22,Parts per billion,5.595652,11.8,0,10,Parts per million,0.029333,0.034,10,31,Parts per billion,0.0,0.0,5,,Parts per million,0.2,0.2,0,2.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2008-06-21,Parts per billion,11.125,23.0,21,22,Parts per million,0.029042,0.05,8,42,Parts per billion,1.8625,4.6,23,,Parts per million,0.308333,0.5,6,6.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2001-09-29,Parts per billion,10.041667,27.0,0,25,Parts per million,0.04125,0.056,10,47,Parts per billion,0.6,1.6,11,,Parts per million,0.845833,0.9,0,10.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2001-04-22,Parts per billion,4.857143,14.0,6,13,Parts per million,0.036682,0.044,8,37,Parts per billion,6.047619,9.0,8,13.0,Parts per million,0.772222,0.8,0,9.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2010-03-12,Parts per billion,11.458333,37.0,6,35,Parts per million,0.0395,0.049,9,42,Parts per billion,1.457143,3.4,8,,Parts per million,0.208333,0.3,0,3.0,LA,4533372
22,33,9,1061-A Leesville Ave,LOUISIANA,East Baton Rouge,BATON ROUGE,2007-09-25,Parts per billion,12.916667,29.0,15,27,Parts per million,0.008417,0.016,10,14,Parts per billion,0.0,0.0,0,0.0,Parts per million,0.343333,0.46,15,,LA,4533372
